id,start_date,end_date,lat,lon,rooms,bedrooms,bathrooms,surface_total,price,anio,mes,zona_lat,zona_lon,zona,mes_cont
48CqUfgkcR614pSeb8prAA==,2020-08-02,2020-08-13,-34.9210847,-56.151529,5.0,3.0,4.0,204.0,695000.0,2020,8,0,1,0_1,8
KSPPdXZve9L4dQ4GDeL9vg==,2020-07-13,2020-07-14,-34.90906906,-56.1964035,1.0,2.0,1.0,43.0,85652.0,2020,7,1,0,1_0,7
SlEk9R3BA+xgpVOJVnbKsA==,2020-07-13,2020-07-14,-34.90906906,-56.1964035,2.0,2.0,1.0,78.0,157000.0,2020,7,1,0,1_0,7
4eCLm/TfLm4DSvGI3aiBrQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,109000.0,2020,7,1,1,1_1,7
5KnRyFBpDKEtPE3vsL5ShA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,35.0,105000.0,2020,7,1,1,1_1,7
agkQXODk33shupHIiEFViA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,110000.0,2020,7,1,1,1_1,7
JhXTDXkRDC48HNQY6NleTg==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,111000.0,2020,7,1,1,1_1,7
/oukkSXqdXfU4Bbuu7a+Jw==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,108000.0,2020,7,1,1,1_1,7
c1Ip9qxYaObNb4G6h2AEaA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,115000.0,2020,7,1,1,1_1,7
uen5aKZ5nQCn61DKKIooIA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,112000.0,2020,7,1,1,1_1,7
xWZHer4ZzVtywPJVJhJVTQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,113000.0,2020,7,1,1,1_1,7
JGzOOchPkHolksZqEK2zEQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,35.0,104000.0,2020,7,1,1,1_1,7
9pFhrg/fWN2HgTvi1ksElA==,2020-07-13,9999-12-31,-34.9058716,-56.1595619,3.0,2.0,1.0,41.0,110000.0,2020,7,1,1,1_1,7
zbZodCKRxHkz2dfIKJpG8w==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,35.0,108000.0,2020,7,1,1,1_1,7
DpG4FVTQSIHCJWH5CMFLaA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,48.0,116000.0,2020,7,1,1,1_1,7
qGQOEyXHWJfge3hoJ3sgKA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,39.0,114000.0,2020,7,1,1,1_1,7
4bA8i1s9DHyt5MnL+FgVaA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,1.0,2.0,1.0,35.0,107000.0,2020,7,1,1,1_1,7
CmZhlNDpLHtn60FbFfj4ew==,2020-07-13,2021-06-08,-34.8818151,-56.1715206,1.0,1.0,1.0,41.0,85000.0,2020,7,2,1,2_1,7
7p+bvGztT3nmGFkl1ZLo2w==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,64.0,199000.0,2020,7,1,1,1_1,7
R/d6MKoT5FJWUkGGQ/YBLA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,153000.0,2020,7,1,1,1_1,7
