start_date,anio,mes,mes_cont,zona,rooms,bedrooms,bathrooms,surface_total,price,price_per_m2
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,115000.0,2948.7179487179487
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,112000.0,2871.7948717948716
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,113000.0,2897.4358974358975
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,35.0,104000.0,2971.4285714285716
2020-07-13,2020,7,7,1_1,3.0,2.0,1.0,41.0,110000.0,2682.9268292682927
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,35.0,108000.0,3085.714285714286
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,48.0,116000.0,2416.6666666666665
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,39.0,114000.0,2923.076923076923
2020-07-13,2020,7,7,1_1,1.0,2.0,1.0,35.0,107000.0,3057.1428571428573
2020-07-13,2020,7,7,2_1,1.0,1.0,1.0,41.0,85000.0,2073.170731707317
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,64.0,199000.0,3109.375
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,153000.0,3187.5
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,163000.0,3395.8333333333335
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,64.0,193000.0,3015.625
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,159000.0,3244.8979591836733
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,64.0,191000.0,2984.375
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,167000.0,3408.1632653061224
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,165000.0,3367.3469387755104
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,161000.0,3285.714285714286
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,152000.0,3166.6666666666665
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,158000.0,3224.4897959183672
